id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,target
119737,0,0,15,0,0,0,0,0,11,0,2,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,3,0,0,3,0,0,0,34,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Class_3
72272,0,0,1,0,0,1,0,0,0,1,2,0,2,0,3,0,3,0,3,0,0,0,0,0,1,10,0,0,3,0,0,5,0,1,0,2,0,1,1,0,6,0,0,1,7,0,1,0,0,4,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,Class_6
158154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,36,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Class_6
65426,6,0,0,0,0,2,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,6,0,4,2,0,0,5,3,0,3,0,0,0,2,0,1,2,15,1,3,0,0,0,0,0,0,1,0,0,3,7,2,1,0,0,0,1,1,Class_8
30074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,Class_1
23677,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
134858,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,5,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,1,0,0,7,0,0,4,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,Class_9
176418,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,Class_2
132467,0,2,1,3,1,0,0,7,8,2,4,0,0,1,1,1,1,0,4,3,3,0,0,4,2,0,1,5,2,3,2,7,2,3,0,4,6,34,15,0,1,0,1,2,5,1,4,0,15,11,2,2,2,3,14,0,6,1,15,0,4,2,1,6,2,1,0,1,0,0,20,18,1,0,1,Class_8
4082,40,0,0,0,0,0,0,2,0,72,1,0,0,4,4,6,1,0,5,12,0,0,11,0,0,0,0,1,0,1,1,1,2,2,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,10,0,0,2,2,0,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Class_5
74456,3,0,4,4,0,0,0,0,0,1,0,0,1,0,2,2,0,0,1,0,3,1,0,0,0,5,0,0,1,5,0,0,1,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,Class_7
142133,0,2,2,4,0,0,1,0,1,0,3,0,1,0,2,0,1,1,2,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,Class_6
186433,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,10,0,1,3,1,1,2,1,0,0,0,12,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,3,0,0,0,Class_6
84660,1,1,17,0,1,0,0,1,11,0,32,0,8,0,3,1,4,0,2,0,3,0,0,0,1,0,0,2,1,0,4,4,0,0,0,1,0,0,0,5,1,2,0,10,0,1,0,0,0,4,3,0,0,1,1,0,0,1,3,2,1,0,2,0,1,7,0,0,1,4,0,1,0,0,0,Class_6
117167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,4,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,Class_8
110852,0,1,1,4,0,5,1,1,1,10,0,0,5,0,2,0,0,0,2,1,2,2,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,5,1,0,0,8,0,0,0,0,0,0,2,3,0,3,3,0,4,0,2,3,2,0,2,1,0,7,0,2,0,0,1,0,0,0,0,Class_8
105000,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Class_1
181463,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,0,1,0,0,2,0,0,1,0,2,0,0,1,0,2,0,0,3,5,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,Class_7
9447,0,4,7,1,0,0,0,0,2,0,0,0,9,0,7,0,0,6,7,13,1,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,8,6,1,1,11,0,2,13,0,1,0,1,0,2,2,2,0,0,0,0,0,4,0,8,1,0,0,0,0,0,0,2,0,1,1,0,Class_5
178531,0,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,2,0,0,3,0,0,0,9,0,0,1,0,0,0,8,2,0,0,13,0,3,0,0,0,0,0,41,0,0,2,0,0,0,0,0,1,1,1,0,Class_9
168258,1,0,0,0,0,0,4,0,8,0,0,0,4,0,0,0,3,0,9,27,0,4,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,Class_6
30068,2,0,1,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,44,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,1,17,0,0,3,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,Class_7
28455,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,1,3,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,2,0,0,0,2,0,0,11,1,0,1,1,0,0,0,5,0,0,0,0,0,2,2,0,1,0,1,0,Class_2
156518,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,4,0,0,0,0,1,8,1,1,0,0,5,5,0,3,1,0,0,3,0,6,0,0,0,0,0,0,3,0,8,2,0,1,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0,Class_9
7816,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_6
5254,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,Class_3
9848,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Class_4
